ym,code,name,mcap,ep,bp,roe,div,src_rcept
2026-08,002350,넥센타이어,625074412800,0.21101,3.460071,0.060984,0.033164,20260814003268
2026-08,383800,LX홀딩스,616347975200,0.240965,3.434745,0.070155,0.036578,20260814003829
2026-08,001060,JW중외제약,614748552000,0.148464,0.666835,0.22264,0.025554,20260814004216
2026-08,248070,솔루엠,608222521920,0.016981,0.940959,0.018047,0.011082,20260814000937
2026-08,000640,동아쏘시오홀딩스,605927430000,0.136144,1.968377,0.069166,0.018222,20260814003374
2026-08,108320,LX세미콘,600965885000,0.153422,1.883459,0.081457,0.040596,20260814003481
2026-08,001680,대상,600103793000,-0.505704,1.839356,-0.274935,0.05104,20260814003187
2026-08,014820,동원시스템즈,595770845100,0.096847,1.524815,0.063514,0.029485,20260813001261
2026-08,453340,현대그린푸드,583514418390,0.161549,1.339823,0.120575,0.037657,20260814003465
2026-08,075580,세진중공업,574748000160,0.109517,0.427459,0.256205,0.022255,20260813001500
2026-08,001270,부국증권,568269752800,0.091865,1.57016,0.058507,0.03786,20260814002623
2026-08,114090,GKL,560412370200,0.085881,0.806948,0.106427,0.045695,20260814001705
2026-08,002840,미원상사,559350000000,0.098136,0.765996,0.128115,0.019574,20260814002457
2026-08,003300,한일홀딩스,552499476480,0.09356,3.06034,0.030572,0.109099,20260814003713
2026-08,025540,한국단자,551267500000,0.206114,2.183068,0.094415,0.058716,20260814002398
2026-08,002990,금호건설,549584616500,0.123351,0.524708,0.235085,0.013263,20260813000466
2026-08,007700,F&F홀딩스,547209994330,0.230951,4.347743,0.05312,0.156411,20260814004112
2026-08,058650,세아홀딩스,540036642800,0.179985,4.402495,0.040882,0.06088,20260814003711
2026-08,003620,KG모빌리티,538317265920,0.128498,2.835092,0.045324,0.0,20260814001969
2026-08,100840,SNT에너지,535632279700,0.170891,0.74771,0.228552,0.044272,20260812000070
2026-08,090460,비에이치,535339223440,0.058802,1.493079,0.039383,0.015159,20260814000697
2026-08,005810,풍산홀딩스,531998074800,0.163688,2.294193,0.071349,0.041289,20260814004013
2026-08,016380,KG스틸,529047065130,0.353511,4.091136,0.086409,0.054916,20260814004122
2026-08,006650,대한유화,521950000000,0.042444,3.594449,0.011808,0.03699,20260814003256
2026-08,284740,쿠쿠홈시스,508205524500,0.267455,2.248519,0.118947,0.06208,20260814003412
2026-08,001530,DI동일,496139122950,0.004459,1.060658,0.004204,0.003976,20260814003957
2026-08,336370,솔루스첨단소재,493592454940,0.03532,1.51506,0.023312,0.001876,20260814004134
2026-08,377740,바이오노트,492619042080,-0.330797,3.14778,-0.105089,0.046632,20260813000809
