출발일,code,name,유형,등급,국면,시장낙폭,당시종가,2일누적,핵심선,카드수익,청산,경과일,40일수익,시총
2026-06-24,039440,에스티아이,A,B,실행,-7.1,26200.0,-12.5,주60주,-6.0,트레일,2,,445052248900
2026-06-24,061970,LB세미콘,A,B,실행,-7.1,4415.0,-15.9,주60주,-7.3,트레일,2,,317714042820
2026-06-24,110990,디아이티,A,C,실행,-7.1,18860.0,-16.9,월10,-7.1,트레일,2,,402570000000
2026-06-23,097230,HJ중공업,A,C,실행,-10.0,19600.0,-12.1,주60주,6.9,목표,1,,1855569319200
2026-06-23,448900,한국피아이엠,A,B,실행,-10.0,59100.0,-21.7,일240,-5.8,손절,2,,620202059700
2026-06-23,295310,에이치브이엠,A,C,실행,-10.0,55000.0,-16.4,주60주,-8.5,손절,2,,1320596551800
2026-06-23,00680K,미래에셋증권2우B,A,C,실행,-10.0,13010.0,-14.1,주60주,8.2,목표,2,,2130765000000
2026-06-23,389500,에스비비테크,A,B,실행,-10.0,42450.0,-14.8,일240,-5.8,손절,3,,511754649600
2026-06-23,049070,인탑스,A,C,실행,-10.0,16430.0,-18.7,주60주,11.5,목표,1,,322844000000
2026-06-23,036570,NC,A,C,실행,-10.0,241500.0,-12.8,월10,7.3,목표,4,,6236994369000
2026-06-23,000370,한화손해보험,A,B,실행,-10.0,5920.0,-12.3,주60주,-5.0,손절,3,,737789942800
