date,code,BPS,PER,PBR,EPS,DIV,DPS,src_rcept
2025-12-31,078020,15838.6943,15.8827,0.4148,413.6572,4.0377,265.2766,20260316000923
2025-12-31,170900,66068.967,,0.5608,-2939.2277,1.7448,646.4386,20260318001313
2025-12-31,067630,2438.9644,,1.2054,-818.5432,0.0,0.0,20260323001728
2025-12-31,060980,118064.4967,16.8356,0.3274,2295.7281,5.3308,2060.3667,20260813001221
2025-12-31,025900,16099.5896,,0.4224,-905.2227,7.8682,535.0366,20260608000293
2025-12-31,005610,55806.5184,24.0393,0.7006,1626.5022,4.3241,1690.7389,20260318001066
2025-12-31,078350,11152.0674,21.6813,1.91,982.4154,0.0,0.0,20260316001638
2025-12-31,448900,9378.8975,,5.619,-8.9289,0.0,0.0,20260320001061
2025-12-31,290550,10139.9695,13.6811,1.5631,1158.5305,0.0,0.0,20260318001382
2025-12-31,016800,51971.1519,8.8076,0.5243,3093.9279,3.4268,933.8037,20260407003277
2025-12-31,005950,3655.2211,,3.2501,-1181.7712,0.0,0.0,20260319001212
2025-12-31,036800,8702.8475,7.2802,0.7882,942.2826,2.267,155.5191,20260316001148
2025-12-31,002020,144300.953,,0.167,-12277.3414,3.2648,786.8125,20260323001718
2025-12-31,215600,794.797,,2.7869,-174.5893,0.0,0.0,20260319001291
2025-12-31,092790,17845.3901,8.5044,0.6607,1386.3383,11.9169,1405.0,20260414002511
2025-12-31,123890,8852.5922,6.2077,0.283,403.5303,3.9918,99.9944,20260318001022
2025-12-31,093520,10557.4561,13.2694,2.4343,1936.7839,0.623,160.1029,20260318000498
2025-12-31,079370,10609.121,,0.9256,-188.0598,1.0847,106.5222,20260323001146
2025-12-31,108670,93024.721,,0.3628,-4891.6831,3.3143,1118.5737,20260316001555
2025-12-31,228760,4628.8546,,2.6097,-361.4646,0.0,0.0,20260318001270
2025-12-31,243070,31211.6982,6.9923,0.7978,3561.0838,4.1066,1022.5362,20260323001636
2025-12-31,096760,3611.2614,5.0606,1.109,791.4082,6.2576,250.6153,20260318001363
2025-12-31,018250,15110.55,19.4359,0.7405,575.7388,4.9443,553.2649,20260318001405
2025-12-31,078520,3328.5627,20.9013,3.4099,543.0288,3.3275,377.6742,20260320000406
2025-12-31,107640,10823.3377,72.4019,3.0074,449.5737,0.0,0.0,20260318000730
2025-12-31,244920,7505.9751,13.3157,1.736,978.5408,1.8267,238.0149,20260323001605
2025-12-31,092460,11612.7783,11.532,1.4794,1489.7637,1.668,286.569,20260318000522
2025-12-31,352480,26003.4639,20.4162,0.823,1048.1863,3.4274,733.4686,20260323001238
2025-12-31,439090,7483.6074,31.6506,2.3545,556.7037,0.0,0.0,20260323001497
2025-12-31,069540,512.7193,,4.993,-174.3788,0.0,0.0,20260320001115
2025-12-31,084110,43184.9488,9.9432,0.5245,2277.9363,8.9306,2022.7756,20260323001670
2025-12-31,010690,16361.811,4.2613,0.4975,1910.2231,1.8337,149.2604,20260316000461
2025-12-31,265520,24421.4089,11.9471,0.7731,1580.2951,1.7438,329.2375,20260319001249
2025-12-31,054950,19350.6572,10.0213,1.2144,2345.0006,2.027,476.347,20260323001116
2025-12-31,035810,10820.6325,10.5707,0.4052,414.8245,9.9332,435.573,20260323001036
2025-12-31,061970,4579.4033,,1.0613,-2597.3429,0.0,0.0,20260320000806
2025-12-31,034830,4112.0667,13.3889,0.2704,83.0541,5.3714,59.7305,20260318001299
2025-12-31,217590,4596.0947,,2.5304,-18.4487,1.3909,161.7667,20260318000642
2025-12-31,092870,14995.1535,31.0123,1.4205,686.8237,0.4498,95.798,20260316001681
2025-12-31,286940,28166.4799,27.7032,0.6462,656.9638,3.8462,700.0,20260313000002
2025-12-31,091700,10213.4789,8.1309,0.5365,673.9685,5.5254,302.7901,20260702000296
2025-12-31,200130,12026.6459,,0.7675,-770.6729,3.997,368.9189,20260317000761
2025-12-31,472850,4070.8063,7.8468,1.1558,599.6099,4.775,224.666,20260325000974
2025-12-31,084690,17074.4932,,0.4381,-2951.0567,11.3033,845.4887,20260327001423
2025-12-31,049070,42382.6443,16.6585,0.4046,1029.5058,5.3406,915.9053,20260317000896
2025-12-31,017890,25899.6616,8.804,0.5039,1482.2885,1.2115,158.1019,20260318001201
2025-12-31,309710,5106.6532,,4.1123,-1119.8786,0.0,0.0,20260407003281
2025-12-31,017390,225861.7112,8.6411,0.2391,6249.2228,3.7002,1998.1212,20260318000625
2025-12-31,448280,4227.2441,149.2502,2.1267,60.2344,1.8539,166.6667,20260317000743
2025-12-31,182400,98.0771,,37.4195,-138.1613,0.0,0.0,20260324000530
2025-12-31,099440,1429.552,,2.7071,-314.9672,0.0,0.0,20260323001679
2025-12-31,098070,14605.3689,8.548,1.6193,2766.7207,1.5095,356.991,20260318000570
2025-12-31,267980,82238.1479,4.6428,0.4134,7323.2081,3.4621,1177.0996,20260319001065
2025-12-31,008490,42240.0982,5.9856,0.5327,3759.0351,2.8328,637.3792,20260319001055
2025-12-31,002710,9346.0772,,1.0571,-283.9585,1.0353,102.2889,20260318000366
2025-12-31,047920,3815.5872,56.3188,2.0574,139.3851,0.0,0.0,20260319000010
2025-12-31,121800,8347.1221,29.2522,0.3977,113.4957,0.0,0.0,20260331003496
2025-12-31,151860,30101.0854,3.1074,0.1787,1731.3555,7.0267,378.0361,20260318001667
2025-12-31,023410,11409.4,,0.284,-132.4169,5.0508,163.6458,20260320001208
2025-12-31,019010,8104.702,2.6636,0.6391,1944.7372,0.805,41.7012,20260319001236
2025-12-31,018000,407.4811,,2.3559,-80.4538,0.0,0.0,20260319001238
2025-12-31,003070,27334.4431,,0.3549,-7519.6784,3.1823,308.6836,20260323001556
2025-12-31,136490,23677.8696,2.0593,0.435,5001.5955,1.0,102.9959,20260320000571
2025-12-31,092200,3655.9367,,1.7205,-271.2091,0.0,0.0,20260320001046
2025-12-31,180400,954.4418,,2.5984,-295.0265,0.0,0.0,20260324000002
2025-12-31,042520,2363.2946,,7.1976,-2197.64,0.0,0.0,20251218000494
2025-12-31,340570,24749.0471,6.3402,1.2,4684.4098,2.5079,744.8337,20260318001498
2025-12-31,005680,26985.6486,47.0236,0.4462,256.0415,2.3762,286.0921,20260319001319
2025-12-31,003920,167282.5202,33.8429,0.2535,1252.8467,0.3474,147.3017,20260319001235
2025-12-31,394280,647.878,,13.8298,-1143.7063,0.0,0.0,20260319001410
2025-12-31,000680,2051.586,19.214,1.4598,155.8758,0.0,0.0,20260330001510
2025-12-31,064550,8124.033,,1.1115,-108.9936,0.0,0.0,20260324001036
2025-12-31,002320,90200.2255,,0.1663,-100.1346,8.2875,1243.1222,20260316001427
