code,market
080220,KOSDAQ
080420,KOSDAQ
080470,KOSDAQ
080520,KOSDAQ
080530,KOSDAQ
080580,KOSDAQ
080720,KOSDAQ
081000,KOSPI
081150,KOSDAQ
081180,KOSDAQ
081580,KOSDAQ
081660,KOSPI
082210,KOSDAQ
082270,KOSDAQ
082640,KOSPI
082660,KOSDAQ
082740,KOSPI
082800,KOSDAQ
082850,KOSDAQ
082920,KOSDAQ
083310,KOSDAQ
083420,KOSPI
083450,KOSDAQ
083470,KOSDAQ
083500,KOSDAQ
083550,KOSDAQ
083640,KOSDAQ
083650,KOSDAQ
083660,KOSDAQ
083790,KOSDAQ
083930,KOSDAQ
084010,KOSPI
084110,KOSDAQ
084180,KOSDAQ
084370,KOSDAQ
084440,KOSDAQ
084650,KOSDAQ
084670,KOSPI
084680,KOSPI
084690,KOSPI
084695,KOSPI
