rank,code,name,theme,score,grade,F,ex12_pct,adtv_ek
339,018250,애경산업,화학/에너지,6.0,B,,-0.42,11.0
340,009160,SIMPAC,철강/소재,6.0,B,,-0.184,12.0
341,002150,도화엔지니어링,건설/엔지니어링,6.0,B,,-0.365,4.0
342,003090,대웅,바이오/제약,6.0,B,6.0,-0.37,14.0
343,003010,혜인,기계/장비,6.0,B,,-0.287,11.0
344,006660,삼성공조,자동차,6.0,B,,-0.418,175.0
345,004380,삼익THK,기계/장비,6.0,B,,-0.467,19.0
346,005010,휴스틸,철강/소재,6.0,B,,-0.298,23.0
347,026940,부국철강,철강/소재,6.0,B,,0.026,5.0
348,025820,이구산업,철강/소재,6.0,B,,-0.308,16.0
349,001230,동국홀딩스,금융,6.0,B,,-0.106,42.0
350,001250,GS글로벌,유통/소비/식품,6.0,B,,-0.136,36.0
351,002240,고려제강,철강/소재,6.0,B,6.0,-0.086,6.0
352,009070,KCTC,운송/물류/여행,6.0,B,,-0.334,9.0
353,001780,알루코,철강/소재,6.0,B,,-0.346,25.0
354,002320,한진,운송/물류/여행,6.0,B,,-0.314,5.0
355,069620,대웅제약,바이오/제약,6.0,B,6.0,-0.32,49.0
356,097520,엠씨넥스,기타,6.0,B,,-0.402,18.0
357,378850,화승알앤에이,자동차,6.0,B,,-0.232,4.0
358,047400,유니온머티리얼,기타,6.0,B,,-0.509,4.0
359,009270,신원,유통/소비/식품,6.0,B,,-0.522,8.0
360,007690,국도화학,화학/에너지,6.0,B,,-0.094,4.0
361,004140,동방,운송/물류/여행,6.0,B,,-0.464,10.0
362,021820,세원정공,자동차,6.0,B,,-0.26,4.0
363,035720,카카오,인터넷/SW,6.0,B,6.0,-0.527,1441.0
364,036580,팜스코,기타,6.0,B,,-0.239,9.0
365,004360,세방,운송/물류/여행,6.0,B,,-0.279,8.0
366,004100,태양금속,자동차,6.0,B,,-0.189,30.0
367,012610,경인양행,화학/에너지,6.0,B,,-0.021,29.0
368,011780,금호석유화학,화학/에너지,6.0,B,6.0,-0.094,99.0
369,200880,서연이화,자동차,6.0,B,,-0.186,13.0
370,204210,JK리버스톤리츠,건설/엔지니어링,6.0,B,,-0.626,22.0
371,009290,광동제약,바이오/제약,6.0,B,,-0.15,13.0
372,002710,TCC스틸,철강/소재,6.0,B,,-0.453,23.0
373,002140,고려산업,기타,6.0,B,,-0.493,4.0
374,395400,SK리츠,건설/엔지니어링,6.0,B,6.0,0.068,26.0
375,210540,디와이파워,기계/장비,6.0,B,,-0.229,13.0
376,00088K,한화3우B,미분류,6.0,B,,-0.21,42.0
377,001210,금호전기,기타,6.0,B,,-0.033,5.0
378,079900,전진건설로봇,로봇/자동화,6.0,B,6.0,-0.416,26.0
379,013520,화승코퍼레이션,자동차,6.0,B,,0.096,4.0
380,484870,엠앤씨솔루션,기계/장비,5.67,C,8.0,-0.632,37.0
381,005690,파미셀,반도체/전자,5.33,C,7.0,-0.127,127.0
382,052690,한전기술,원자력/원전,5.33,C,7.0,-0.068,222.0
383,489790,한화비전,반도체/전자,5.0,C,6.0,-0.023,396.0
384,081000,일진다이아,화학/에너지,5.0,C,,-0.388,6.0
385,079980,휴비스,화학/에너지,5.0,C,,-0.506,6.0
386,092790,넥스틸,철강/소재,5.0,C,,-0.32,34.0
387,089590,제주항공,운송/물류/여행,5.0,C,,-0.451,17.0
388,072710,농심홀딩스,금융,5.0,C,6.0,-0.045,9.0
389,096775,SK이노베이션우,미분류,5.0,C,,-0.396,5.0
390,016880,웅진,서비스/기타사업,5.0,C,,-0.425,8.0
391,011760,현대코퍼레이션,유통/소비/식품,5.0,C,,-0.32,12.0
392,021050,서원,철강/소재,5.0,C,,-0.311,7.0
393,145720,덴티움,바이오/제약,5.0,C,,-0.459,19.0
394,140910,에이리츠,건설/엔지니어링,5.0,C,,-0.863,5.0
395,126720,수산인더스트리,전력/전기장비,5.0,C,,-0.302,17.0
396,108320,LX세미콘,반도체,5.0,C,6.0,-0.468,58.0
397,007860,서연,금융,5.0,C,,-0.299,11.0
